,,,Matemática e física,"Lóg., algor. teoria e estrura de dados.",Ling. e parad.,PAA,Conf. plataformas para softwares e serviços,Arquiteturas de computadores,Seg. de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhec. em sist. de aut.,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,Somatório da linha
1o,ECOI01,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,8,0,0,0,0,0,0,4,0,0,0,0,0,0,6,4,8,6,10,6,1,4,10,62
,ECOI02,LÓGICA DE PROGRAMAÇÃO,,8,8,4,0,0,1,1,0,0,0,0,0,0,0,0,6,8,4,4,1,0,0,53
,ECOI03,MATEMÁTICA DISCRETA,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,4,0,0,0,36
,EMEI02,DESENHO APLICADO,,0,0,0,0,0,0,5,0,0,0,2,0,0,4,0,2,0,1,2,0,0,0,16
,FISI01,FUNDAMENTOS DE MECÂNICA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,4,0,0,0,25
,HUMI01,CIÊNCIA TECNOLOGIA E SOCIEDADE,,0,0,0,0,0,1,3,0,1,0,2,4,0,3,6,6,5,10,3,1,6,10,61
,HUMI02,LÍNGUA PORTUGUESA I,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,10,1,8,1,0,10,43
,MATI01,CÁLCULO DIFERENCIAL E INTEGRAL I,,2,1,3,0,0,0,0,1,2,0,1,2,2,0,0,3,5,1,3,0,0,0,30
,MATI02,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,,2,1,3,0,0,2,0,5,2,0,3,5,1,0,0,5,5,1,3,0,0,0,46
2o,ECOI04,ALGORITMOS E ESTRUTURA DE DADOS I,4,8,6,1,0,1,1,4,2,2,0,0,6,0,0,0,6,6,6,6,1,4,10,76
,EELI02,CIRCUITOS LÓGICOS,5,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,4,5,1,4,0,0,0,24
,EELI03,LABORATÓRIO DE CIRCUITOS LÓGICOS,,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,4,5,1,6,0,2,6,34
,EMEI06,MECÂNICA ESTÁTICA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,8,0,0,4,26
,EMTI02,QUÍMICA GERAL,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,12
,EMTI03,LABORATÓRIO DE QUÍMICA GERAL,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,5,0,0,6,21
,FISI02,FUNDAMENTOS DE MECÂNICA ONDULATÓRIA E TERMODINÂMICA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,8,22
,FISI03,LABORATÓRIO DE FÍSICA A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,8,21
