,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
1o,ECOI01,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,,,,,,,,,,,,,,,,,,,,5,,,5,0
,ECOI02,LÓGICA DE PROGRAMAÇÃO,,3,3,,1,,,,,,,,,,,,3,,,,,,,0
,ECOI03,MATEMÁTICA DISCRETA,10,,,,,,,,,,,,,,,,,,,,,,,0
,EMEI02,DESENHO APLICADO,,,,,,,,,,,,,,,,,,,10,,,,,0
,FISI01,FUNDAMENTOS DE MECÂNICA,10,,,,,,,,,,,,,,,,,,,,,,,0
,HUMI01,CIÊNCIA TECNOLOGIA E SOCIEDADE,,,,,,,,,,,,,,,,,,,,5,5,,,0
,HUMI02,LÍNGUA PORTUGUESA I,,,,,,,,,,,,,,,,,,,,10,,,,0
,MATI01,CÁLCULO DIFERENCIAL E INTEGRAL I,10,,,,,,,,,,,,,,,,,,,,,,,0
,MATI02,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,10,,,,,,,,,,,,,,,,,,,,,,,0
2o,ECOI04,ALGORITMOS E ESTRUTURA DE DADOS I,,5,4,,,,,,,,,,,,,,,1,,,,,,0
,EELI02,CIRCUITOS LÓGICOS,,,,,,,,,,,10,,,,,,,,,,,,,0
,EELI03,LABORATÓRIO DE CIRCUITOS LÓGICOS,,,,,,,,,,,9,,,,,,,,,,1,,,0
,EMEI06,MECÂNICA ESTÁTICA,10,,,,,,,,,,,,,,,,,,,,,,,#REF!
,EMTI02,QUÍMICA GERAL,10,,,,,,,,,,,,,,,,,,,,,,,0
,EMTI03,LABORATÓRIO DE QUÍMICA GERAL,10,,,,,,,,,,,,,,,,,,,,,,,0
,FISI02,FUNDAMENTOS DE MECÂNICA ONDULATÓRIA E TERMODINÂMICA,10,,,,,,,,,,,,,,,,,,,,,,,0
,FISI03,LABORATÓRIO DE FÍSICA A,10,,,,,,,,,,,,,,,,,,,,,,,0
,MATI03,CÁLCULO DIFERENCIAL E INTEGRAL II,10,,,,,,,,,,,,,,,,,,,,,,,0
3o,ECOI08,ALGORITMOS E ESTRUTURA DE DADOS II,,5,4,,,,,,,,,,,,,,,,1,,,,,0
,ECOI61,METODOLOGIA CIENTÍFICA PARA ENGENHARIA DA COMPUTAÇÃO,,,,,,,,,,,,,,,,,,,,10,,,,0
,EMBI02,RESISTÊNCIA DOS MATERIAIS I,10,,,,,,,,,,,,,,,,,,,,,,,0
,EMEI07,FENÔMENOS DE TRANSPORTE,10,,,,,,,,,,,,,,,,,,,,,,,0
,EMEI08,LABORATÓRIO DE FENÔMENOS DE TRANSPORTE,10,,,,,,,,,,,,,,,,,,,,,,,0
,FISI04,FUNDAMENTOS DE ELETROMAGNETISMO,10,,,,,,,,,,,,,,,,,,,,,,,0
,HUMI06,METODOLOGIA CIENTÍFICA,,,,,,,,,,,,,,,,,,,,5,5,,,0
,MATI06,CÁLCULO DIFERENCIAL E INTEGRAL III,10,,,,,,,,,,,,,,,,,,,,,,,0
,MATI07,EQUAÇÕES DIFERENCIAIS I,10,,,,,,,,,,,,,,,,,,,,,,,0
4o,ECOI09,LINGUAGENS DE PROGRAMAÇÃO,,3,7,,,,,,,,,,,,,,,,,,,,,0
,EELI07,CIRCUITOS ELÉTRICOS I,,,,,,,,,,,5,,,5,,,,,,,,,,0
,FISI05,FUNDAMENTOS DE ÓTICA E FÍSICA MODERNA,10,,,,,,,,,,,,,,,,,,,,,,,0
,FISI07,ELETROMAGNETISMO CLÁSSICO,10,,,,,,,,,,,,,,,,,,,,,,,0
,MATI04,ÁLGEBRA LINEAR,10,,,,,,,,,,,,,,,,,,,,,,,0
,MATI05,ESTATÍSTICA,10,,,,,,,,,,,,,,,,,,,,,,,0
,MATI08,CÁLCULO NUMÉRICO,10,,,,,,,,,,,,,,,,,,,,,,,0
5o,ECAI26,SINAIS E SISTEMAS,,,,,,,,,,,10,,,,,,,,,,,,,0
,ECOI10,LABORATÓRIO DE CIRCUITOS ELÉTRICOS I,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECOI11,PROJETO E ANÁLISE DE ALGORITMOS,,2,,8,,,,,,,,,,,,,,,,,,,,0
,ECOI12,ARQUITETURA DE COMPUTADORES,,,,,,9,,,,,,1,,,,,,,,,,,,0
,ECOI14,BANCO DE DADOS,,,1,,2,,,4,,,,,,,,,3,,,,,,,0
,EELI10,ELETRÔNICA BÁSICA I,,,,,,,,,,,10,,,,,,,,,,,,,0
,EELI11,LABORATÓRIO DE ELETRÔNICA BÁSICA I,,,,,,,,,,,10,,,,,,,,,,,,,0
,FISI06,"LABORATÓRIO FÍSICA B (ELETROMAGNETISMO, ÓTICA E FÍSICA MODERNA)",10,,,,,,,,,,,,,,,,,,,,,,,0
6o,ECAI29,MODELAGEM E ANÁLISE DE SISTEMAS DINÂMICOS,8,,,,,,,,,,2,,,,,,,,,,,,,0
,ECOI15,SISTEMAS OPERACIONAIS,,,6,,1,,2,,,1,,,,,,,,,,,,,,0
,ECOI16,ENGENHARIA DE SOFTWARE,,,,,,,,,,,,,,,3,,2,,,,,,5,0
,ECOI32,CIRCUITOS INTEGRADOS ANALÓGICOS,2,,,,,,,,,,,,,7,,,1,,,,,,,0
,EELI12,ELETRÔNICA BÁSICA II,,,,,,,,,,,5,,,5,,,,,,,,,,0
,EELI13,LABORATÓRIO DE ELETRÔNICA BÁSICA II,,,,,,,,,,,5,,,5,,,,,,,,,,0
,EELI14,ELETRÔNICA DIGITAL,,,,,,,,,,,5,,,5,,,,,,,,,,0
,EELI15,LABORATÓRIO DE ELETRÔNICA DIGITAL,,,,,,,,,,,5,,,5,,,,,,,,,,0
7o,ECAI04,INTRODUÇÃO AOS SISTEMAS DE CONTROLE,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECAI11,MICROCONTROLADORES,,,,,,,,,,,5,,,5,,,,,,,,,,0
