Sigla,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe
EAMI30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.5,1.25,1.75,0.25,0.0,1.5
ECAI04,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.5,2.0,0.0,0.75,0.25,0.0,0.0
ECAI05,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,1.75,1.75,0.0,0.0,0.25,0.0,0.0
ECAI07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.25,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0
ECAI11,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.75,0.0,0.25,1.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
ECAI13,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,1.25,0.25,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.75
ECAI26,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.0,0.0,0.0,0.0,0.0
ECAI29,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.25,0.25,0.0,0.25
ECAI44,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.5,1.25,0.0,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0
ECOI01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.5,1.75,0.0,0.5,3.0
ECOI02,0.75,2.5,1.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,0.25,0.0,0.0,0.0,0.5
ECOI03,4.75,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.25
ECOI04,0.5,3.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,0.0,0.0,0.25,0.0,0.25
ECOI07,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,1.75,0.0,0.25,1.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
ECOI08,0.5,2.75,1.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.25,0.5,0.25,0.0,0.0,0.5
ECOI09,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.25
ECOI10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.5,0.75,0.0,0.0,0.25,0.0,0.0
ECOI11,0.25,0.75,0.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25
ECOI12,0.0,0.25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25,0.0,0.25
ECOI13,0.25,3.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
ECOI14,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.25,0.0,0.25
ECOI15,0.0,0.25,2.0,0.0,1.5,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
ECOI16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.5,0.25,0.25,0.25,0.0,1.5
ECOI18,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.5,0.75,0.0,1.25,0.5,0.0,0.0
ECOI19,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.75,0.0,1.5,0.0,0.0,1.0
ECOI20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.5,0.25,0.5,0.0,1.5,0.0,0.25,0.25
ECOI21,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25
ECOI22,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25
ECOI23,0.25,1.25,0.5,0.25,0.0,0.5,0.0,1.25,0.0,0.0,0.0,0.75,0.5,0.0,0.5,0.0,0.75,0.5,0.0,0.25,0.0,0.0,0.25
ECOI24,0.75,2.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.25,0.0,0.75
ECOI25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,1.0
ECOI26,0.0,1.0,0.25,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25
ECOI32,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.75,0.25,0.0,0.5,0.25,0.0,0.0
ECOI33,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,1.0,1.75,0.0,0.5,0.5,0.0,0.0
ECOI61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,1.25
EELI02,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.25,0.0,0.0
EELI03,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.5,0.0,0.25
EELI07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.75,0.5,0.0,0.0,0.25,0.0,0.0
EELI10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.25,0.0,0.0
EELI11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.25,0.0,0.0
EELI12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.5,0.5,0.0,0.25,0.25,0.0,0.0
EELI13,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.5,0.5,0.0,0.25,0.25,0.0,0.25
EELI14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.5,0.5,0.0,0.25,0.25,0.0,0.0
